Sender: LSF System <hpcadmin@node06>
Subject: Job 5252: <./bench 6> Done

Job <./bench 6> was submitted from host <head1> by user <kmd14> in cluster <head1_cluster1>.
Job was executed on host(s) <6*node06>, in queue <medium_priority>, as user <kmd14> in cluster <head1_cluster1>.
</gpfs1/kmd14> was used as the home directory.
</gpfs1/kmd14/297M/Assignments/Assignment 1/BSP> was used as the working directory.
Started at Sat Feb 22 17:15:33 2014
Results reported at Sat Feb 22 17:23:46 2014

Your job looked like:

------------------------------------------------------------
# LSBATCH: User input
./bench 6
------------------------------------------------------------

Successfully completed.

Resource usage summary:

    CPU time   :   2233.27 sec.
    Max Memory :         2 MB
    Max Swap   :       465 MB

    Max Processes  :         3
    Max Threads    :         9

The output (if any) follows:

p= 6, h= 256, n= 512, r= 418.758 Mflop/s, g= 470.0, l= 56005.8
p= 6, h= 356, n= 512, r= 505.787 Mflop/s, g= 437.6, l= 48895.9
p= 6, h= 456, n= 512, r= 498.667 Mflop/s, g= 446.5, l= 51485.8
p= 6, h= 556, n= 512, r= 498.844 Mflop/s, g= 463.2, l= 52144.9
p= 6, h= 656, n= 512, r= 503.229 Mflop/s, g= 467.7, l= 57446.6
p= 6, h= 756, n= 512, r= 490.279 Mflop/s, g= 462.8, l= 48516.1
p= 6, h= 256, n= 612, r= 500.045 Mflop/s, g= 521.1, l= 44350.5
p= 6, h= 356, n= 612, r= 492.739 Mflop/s, g= 483.2, l= 47222.8
p= 6, h= 456, n= 612, r= 514.202 Mflop/s, g= 465.1, l= 60247.8
p= 6, h= 556, n= 612, r= 498.888 Mflop/s, g= 237.5, l= 90857.2
p= 6, h= 656, n= 612, r= 440.897 Mflop/s, g= 104.5, l= 49232.6
p= 6, h= 756, n= 612, r= 439.881 Mflop/s, g= 75.8, l= 61122.9
p= 6, h= 256, n= 712, r= 437.719 Mflop/s, g= 274.8, l= 28294.1
p= 6, h= 356, n= 712, r= 433.555 Mflop/s, g= 104.7, l= 54440.0
p= 6, h= 456, n= 712, r= 435.025 Mflop/s, g= 90.7, l= 54641.4
p= 6, h= 556, n= 712, r= 426.868 Mflop/s, g= 152.0, l= 31254.3
p= 6, h= 656, n= 712, r= 440.325 Mflop/s, g= 61.7, l= 72174.3
p= 6, h= 756, n= 712, r= 448.075 Mflop/s, g= 90.7, l= 53585.7
p= 6, h= 256, n= 812, r= 435.848 Mflop/s, g= 298.3, l= 26093.1
p= 6, h= 356, n= 812, r= 451.312 Mflop/s, g= 228.0, l= 31328.1
p= 6, h= 456, n= 812, r= 438.868 Mflop/s, g= 158.4, l= 41666.3
p= 6, h= 556, n= 812, r= 424.350 Mflop/s, g= 104.3, l= 47343.4
p= 6, h= 656, n= 812, r= 440.449 Mflop/s, g= 89.8, l= 55528.0
p= 6, h= 756, n= 812, r= 443.949 Mflop/s, g= 71.8, l= 61698.9
p= 6, h= 256, n= 912, r= 427.282 Mflop/s, g= 170.0, l= 41543.2
p= 6, h= 356, n= 912, r= 438.191 Mflop/s, g= 131.3, l= 52958.5
p= 6, h= 456, n= 912, r= 445.489 Mflop/s, g= 84.5, l= 63136.8
p= 6, h= 556, n= 912, r= 440.682 Mflop/s, g= 107.9, l= 50128.9
