MPI BenchMarking, For Shared mode, (ptile=N):
p= 1, maxh= 256, maxn= 512 r= 242.928 Mflop/s, g= 0.1, l= 20.4
p= 1, maxh= 256, maxn= 612 r= 245.217 Mflop/s, g= 0.1, l= 20.7
p= 1, maxh= 256, maxn= 712 r= 249.200 Mflop/s, g= 0.1, l= 23.3
p= 1, maxh= 256, maxn= 812 r= 248.264 Mflop/s, g= 0.1, l= 21.6
p= 1, maxh= 256, maxn= 912 r= 243.203 Mflop/s, g= 0.1, l= 20.7
p= 1, maxh= 256, maxn= 1012 r= 251.609 Mflop/s, g= 0.1, l= 21.3
p= 1, maxh= 256, maxn= 1112 r= 216.589 Mflop/s, g= -0.0, l= 23.4
p= 1, maxh= 256, maxn= 1212 r= 503.808 Mflop/s, g= 0.1, l= 21.4
p= 1, maxh= 256, maxn= 1312 r= 497.103 Mflop/s, g= 0.1, l= 21.8
p= 1, maxh= 256, maxn= 1412 r= 250.984 Mflop/s, g= -0.0, l= 28.1
p= 1, maxh= 356, maxn= 512 r= 249.780 Mflop/s, g= 0.1, l= 21.9
p= 1, maxh= 356, maxn= 612 r= 494.527 Mflop/s, g= 0.1, l= 21.4
p= 1, maxh= 356, maxn= 712 r= 256.034 Mflop/s, g= -0.0, l= 29.5
p= 1, maxh= 356, maxn= 812 r= 251.535 Mflop/s, g= 0.1, l= 23.3
p= 1, maxh= 356, maxn= 912 r= 492.260 Mflop/s, g= 0.1, l= 21.2
p= 1, maxh= 356, maxn= 1012 r= 498.256 Mflop/s, g= 0.1, l= 21.6
p= 1, maxh= 356, maxn= 1112 r= 226.408 Mflop/s, g= -0.0, l= 29.6
p= 1, maxh= 356, maxn= 1212 r= 254.743 Mflop/s, g= 0.0, l= 30.2
p= 1, maxh= 356, maxn= 1312 r= 501.309 Mflop/s, g= 0.2, l= 22.1
p= 1, maxh= 356, maxn= 1412 r= 469.652 Mflop/s, g= 0.1, l= 20.1
p= 1, maxh= 456, maxn= 512 r= 513.445 Mflop/s, g= 0.2, l= 16.1
p= 1, maxh= 456, maxn= 612 r= 504.400 Mflop/s, g= 0.1, l= 22.8
p= 1, maxh= 456, maxn= 712 r= 475.107 Mflop/s, g= 0.2, l= 13.6
p= 1, maxh= 456, maxn= 812 r= 368.351 Mflop/s, g= 0.1, l= 11.9
p= 1, maxh= 456, maxn= 912 r= 454.975 Mflop/s, g= 0.1, l= 22.4
p= 1, maxh= 456, maxn= 1012 r= 213.999 Mflop/s, g= 0.1, l= 22.2
p= 1, maxh= 456, maxn= 1112 r= 507.529 Mflop/s, g= 0.1, l= 36.1
p= 1, maxh= 456, maxn= 1212 r= 462.820 Mflop/s, g= 0.1, l= 22.3
p= 1, maxh= 456, maxn= 1312 r= 211.575 Mflop/s, g= 0.1, l= 25.8
p= 1, maxh= 456, maxn= 1412 r= 462.322 Mflop/s, g= 0.1, l= 24.6
p= 1, maxh= 556, maxn= 512 r= 458.130 Mflop/s, g= 0.1, l= 22.2
p= 1, maxh= 556, maxn= 612 r= 457.155 Mflop/s, g= 0.1, l= 22.2
p= 1, maxh= 556, maxn= 712 r= 466.337 Mflop/s, g= 0.1, l= 23.0
p= 1, maxh= 556, maxn= 812 r= 457.155 Mflop/s, g= 0.1, l= 21.0
p= 1, maxh= 556, maxn= 912 r= 212.886 Mflop/s, g= 0.0, l= 19.5
p= 1, maxh= 556, maxn= 1012 r= 466.591 Mflop/s, g= 0.1, l= 21.5
p= 1, maxh= 556, maxn= 1112 r= 265.449 Mflop/s, g= 0.1, l= 9.9
p= 1, maxh= 556, maxn= 1212 r= 456.183 Mflop/s, g= 0.1, l= 24.3
p= 1, maxh= 556, maxn= 1312 r= 353.132 Mflop/s, g= 0.1, l= 14.7
p= 1, maxh= 556, maxn= 1412 r= 211.340 Mflop/s, g= -0.0, l= 37.7
p= 1, maxh= 656, maxn= 512 r= 213.521 Mflop/s, g= 0.0, l= 36.7
p= 1, maxh= 656, maxn= 612 r= 209.154 Mflop/s, g= 0.0, l= 31.9
p= 1, maxh= 656, maxn= 712 r= 213.362 Mflop/s, g= 0.0, l= 34.4
p= 1, maxh= 656, maxn= 812 r= 210.023 Mflop/s, g= 0.0, l= 32.9
p= 1, maxh= 656, maxn= 912 r= 212.886 Mflop/s, g= 0.0, l= 31.4
p= 1, maxh= 656, maxn= 1012 r= 216.753 Mflop/s, g= 0.0, l= 33.0
p= 1, maxh= 656, maxn= 1112 r= 212.570 Mflop/s, g= 0.0, l= 29.4
p= 1, maxh= 656, maxn= 1212 r= 463.444 Mflop/s, g= 0.1, l= 20.5
p= 1, maxh= 656, maxn= 1312 r= 459.724 Mflop/s, g= 0.1, l= 21.1
p= 1, maxh= 656, maxn= 1412 r= 224.339 Mflop/s, g= 0.0, l= 37.9
p= 1, maxh= 756, maxn= 512 r= 210.074 Mflop/s, g= 0.0, l= 37.7
p= 1, maxh= 756, maxn= 612 r= 423.149 Mflop/s, g= 0.1, l= 19.5
p= 1, maxh= 756, maxn= 712 r= 474.058 Mflop/s, g= 0.1, l= 20.9
